"","seqnames","start","end","width","strand","Conc","Conc_MSH2","Conc_KO","Fold","p.value","FDR"
"45","6",151901021,151901521,501,"*",6.28162224429428,7.15635303858084,3.69377816658275,3.46397038638363,1.1921445015424e-31,4.52903643765967e-28
"46","19",23550060,23550560,501,"*",7.73735350383004,8.47808558883031,6.1334096221318,2.29711960181149,5.73105259403877e-31,2.12993323776452e-27
"47","11",57155385,57155885,501,"*",6.69883920459308,7.49778778929685,4.75635075587843,2.6493562305799,6.65854018779977e-31,2.34128882527712e-27
"48","10",108789882,108790382,501,"*",7.47884807044327,8.23129047335303,5.81390856701054,2.41203201651289,6.69128987314427e-31,2.34128882527712e-27
"49","11",55481390,55481890,501,"*",6.85017915131526,7.62501932403972,5.05931810462897,2.52677115354143,6.71060450160733e-31,2.34128882527712e-27
"50","10",82190568,82191068,501,"*",6.83792915670732,7.62507502424855,4.97198099902925,2.56978803530482,7.33812849759386e-31,2.5090235433833e-27
"51","8",123585961,123586461,501,"*",7.56624160126993,8.24029160834424,6.26028990638182,1.96031402688021,9.36704182812965e-31,3.13994262128115e-27
"52","11",30741158,30741658,501,"*",7.90387996616979,8.58519777552892,6.56889472836054,2.00450825752457,1.33464797525173e-30,4.38786054909781e-27
"53","8",131288587,131289087,501,"*",8.07413889622741,8.70507157010386,6.92672656128517,1.76000185465793,2.48122853297154e-30,8.00350693471222e-27
"54","1",57253976,57254476,501,"*",6.13228658508725,7.02737308854717,3.29865352961073,3.58844213398995,2.56298814109412e-30,8.11413567824387e-27
"55","17",51848415,51848915,501,"*",7.90166680168461,8.57890112492733,6.58308418000162,1.96992848720543,3.04458420695667e-30,9.46356412459814e-27
"56","10",67606549,67607049,501,"*",6.66170202418637,7.45329190892614,4.76748202721089,2.64579009974615,3.2027962075204e-30,9.77756489366557e-27
"57","11",36774590,36775090,501,"*",7.37079137803532,8.09848748764628,5.83130344272352,2.23880044710397,4.14440274513502e-30,1.24301544649613e-26
"58","17",22090421,22090921,501,"*",6.77550468908368,4.6695651003377,7.59737822700338,-2.85569441869573,4.27252471613644e-30,1.25934875934699e-26
"59","2",14632443,14632943,501,"*",8.1653431801838,8.86889404786933,6.73674596202369,2.07364362400894,5.47099793356401e-30,1.58527265207837e-26
"60","5",22853137,22853637,501,"*",6.45884891417215,7.29700910782408,4.22255742075771,3.01939019179537,1.12347614314622e-29,3.20112057466653e-26
"61","1",177620559,177621059,501,"*",6.8521127865654,7.62936063904562,5.04691434003972,2.52998549091671,1.2201847325423e-29,3.41967772960601e-26
"62","1",239386380,239386880,501,"*",5.96581417715378,6.88108602737342,2.83387623226205,3.78635692220108,1.74552494340228e-29,4.79977694426536e-26
"63","2",13545318,13545818,501,"*",6.1110630442462,7.01744377377858,3.11868949088254,3.66519966974199,1.76877330975279e-29,4.79977694426536e-26
"64","X",47637447,47637947,501,"*",6.18020632234373,7.08051058791904,3.27555471636785,3.59861811206127,1.8475902853483e-29,4.89635358729639e-26
"65","2",107002185,107002685,501,"*",6.58425024432725,7.37712086217491,4.68176216805927,2.58797354545769,1.86164428207083e-29,4.89635358729639e-26
"66","X",31862677,31863177,501,"*",6.02002971528158,6.95910177947553,2.42415425972079,4.24074183517646,2.02941912837358e-29,5.25674902043167e-26
"67","10",67612991,67613491,501,"*",6.61953459422223,7.40940533084625,4.73632758677279,2.63867207287078,2.41698665117258e-29,6.16721199867406e-26
"68","10",75508395,75508895,501,"*",6.027052615584,6.97449442336052,2.22214639004696,4.26627046042063,5.24712690763982e-29,1.31917400275925e-25
"69","11",55474414,55474914,501,"*",6.10204063707809,6.9632378783884,3.65553741843688,3.21045989463259,7.50099675888533e-29,1.85848609261669e-25
"70","19",51394152,51394652,501,"*",8.80120410192421,9.3888683684237,7.79306831335718,1.58003137890616,1.28861702744506e-28,3.14713413968504e-25
"71","14",24860953,24861453,501,"*",7.05528289906755,7.81458999910737,5.35310835140333,2.39626152886857,1.50163635935221e-28,3.61572885524134e-25
"72","8",137578717,137579217,501,"*",7.91977988116641,8.56610375781881,6.71828701863074,1.83902345815489,1.53296052366385e-28,3.6398870167295e-25
"73","1",177256274,177256774,501,"*",7.2825560528995,8.00014540293706,5.79075345708028,2.20417362266376,1.63581132796024e-28,3.83089086308805e-25
"74","8",136070889,136071389,501,"*",7.81603140820148,8.51396977825536,6.41178324756758,2.08827292817323,1.9971756746226e-28,4.61396160786664e-25
"75","8",136487487,136487987,501,"*",6.90339192631201,7.68631425265238,5.06373067544102,2.56865359517868,2.58333840616889e-28,5.88856489655761e-25
"76","5",15533023,15533523,501,"*",5.98308462606881,6.88647614743549,3.03457717690755,3.71256201465725,2.83541079566638e-28,6.37810735270439e-25
"77","5",50889735,50890235,501,"*",6.34372032165194,3.89150290623714,7.20549338949816,-3.18037861750704,2.90105956184976e-28,6.44103039707418e-25
"78","5",23484046,23484546,501,"*",6.80888062219579,7.58463704081717,5.01258305530134,2.52843947437316,3.96825801530981e-28,8.69750581770943e-25
"79","12",54977082,54977582,501,"*",6.61943317925782,7.40281307982512,4.77695074503513,2.53112929485698,5.08116096977028e-28,1.09957609755695e-24
"80","3",90010297,90010797,501,"*",6.94662343172798,7.71157392747729,5.21296412926153,2.4517606460198,6.77821428022108e-28,1.44848744614754e-24
"81","5",23466259,23466759,501,"*",7.5347500026538,8.18666291766255,6.31295795471862,1.84309001095542,7.43543562302331e-28,1.56931753486521e-24
"82","10",108567769,108568269,501,"*",5.931043915426,6.82995076426491,3.04578328119498,3.5818918357152,8.61750330382233e-28,1.79662332904251e-24
"83","3",117184527,117185917,1391,"*",6.3657227770398,7.1905134942304,4.23738937309101,2.8352135313359,1.67410622853657e-27,3.44821509178499e-24
"84","15",54707775,54708275,501,"*",6.30989942050285,7.10752283753901,4.37624169622103,2.65988152024082,1.87439000119208e-27,3.81478530742613e-24
"85","14",25110923,25111423,501,"*",7.06870135689458,7.78289549577326,5.59249784504458,2.17148077782208,2.52056644639462e-27,5.06954115932626e-24
"86","3",89399575,89400525,951,"*",5.93998424759305,6.84590878677574,2.95439800016406,3.60574995021759,2.6501461630494e-27,5.26818241561163e-24
"87","3",130395870,130396370,501,"*",6.8767158805538,7.61319768202759,5.29416991276053,2.24349461778561,3.0436022622343e-27,5.98078339709255e-24
"88","5",15938927,15939427,501,"*",6.40379313221251,7.23330909281262,4.23833265302207,2.87247111468488,3.96538129050149e-27,7.70356425751766e-24
"89","2",29631923,29633434,1512,"*",6.16438911826297,6.99276177876829,4.00801098762766,2.91339560835343,4.72347216603374e-27,9.07320623102018e-24
"90","8",137697085,137697585,501,"*",6.74113605508746,7.5137145419753,4.96359300293053,2.47722975596176,7.99451990818086e-27,1.51858570495865e-23
"91","19",48283840,48284340,501,"*",6.29619584922109,7.10999936634758,4.25023010636186,2.77527285701517,1.02535959310998e-26,1.92630137713073e-23
"92","4",16721553,16722053,501,"*",6.69160775226689,7.46363330425129,4.91729890084915,2.47062079111698,1.15522929823272e-26,2.14669228660075e-23
"93","5",18968885,18969385,501,"*",7.03755113314794,7.76681103947521,5.49051154114729,2.2385996078738,1.27115763860218e-26,2.33671578043173e-23
"94","1",64476560,64477060,501,"*",6.32983164860308,4.11363020542101,7.16558821046156,-2.91472461234728,1.47800721155366e-26,2.68805486034884e-23
"95","9",114719139,114719639,501,"*",7.85403997247151,6.78388817864375,8.46164831227674,-1.65686146647908,1.53669396600544e-26,2.76536975831956e-23
"96","16",77499323,77499823,501,"*",6.15771490264359,7.0360416837617,3.5296230228891,3.23713968321676,1.63093200161431e-26,2.90438409512478e-23
"97","5",15620461,15620961,501,"*",6.63506607243131,7.39273572573216,4.94187713103929,2.39809811567327,1.97253389004931e-26,3.47649947190773e-23
"98","21",31558876,31559376,501,"*",6.37980198212074,1.54073698686499,7.35437691769174,-5.04337084712919,2.2739585487923e-26,3.95436216624801e-23
"99","14",25178197,25178697,501,"*",6.32083077575447,7.15424689913486,4.12389450881279,2.88963884857412,2.28993000888261e-26,3.95436216624801e-23
"100","20",51327294,51327794,501,"*",7.53001766486306,8.20579887164414,6.21721616412961,1.96238283820693,3.99611976356644e-26,6.83168642539791e-23
"101","10",108911676,108912176,501,"*",6.63638679567646,7.39429897420626,4.9418711471836,2.37866009590655,4.40070465396161e-26,7.44886798249474e-23
"102","11",123186145,123186645,501,"*",8.12348359406692,8.75268495875495,6.98199447314028,1.75494321246304,4.66653534944847e-26,7.82138774775502e-23
"103","13",54210604,54211104,501,"*",6.56701169347645,7.32823719296992,4.85422498207001,2.4663537290778,5.02591881094349e-26,8.34195172894445e-23
"104","2",68889451,68889951,501,"*",6.8527414923978,7.57647082984082,5.33219775545297,2.1605327472197,8.0841772179272e-26,1.32889881617538e-22
"105","14",25151324,25151824,501,"*",6.20754672702688,7.03975858982148,4.02041190476751,2.86196550157123,1.46101374183517e-25,2.37878083120625e-22
"106","8",136020508,136021008,501,"*",7.58302051798807,8.20504217794492,6.46576426484072,1.72078863313839,1.55059097747211e-25,2.50081068232715e-22
"107","20",28602489,28602989,501,"*",6.33584020746489,7.12305379948164,4.46946597988577,2.54704449146015,1.67372843069364e-25,2.67418004723853e-22
"108","5",23631210,23631710,501,"*",7.36646091638654,8.02424797485839,6.12293497353253,1.87677403765152,1.81369144754494e-25,2.87097280082767e-22
"109","19",51807149,51807649,501,"*",6.26448447922188,7.11464635501191,3.9229240587286,3.04425378577163,2.11275270425035e-25,3.31368786067184e-22
"110","1",74422547,74423047,501,"*",6.64622332157869,4.84201775079178,7.42330533931971,-2.48839385779624,2.37016720713001e-25,3.68362768542301e-22
"111","9",86741266,86741766,501,"*",6.96369009713245,7.65318681039934,5.59513594773943,2.01309397330384,2.39271149073242e-25,3.6851637029967e-22
"112","9",34158325,34158825,501,"*",7.19300214697167,5.87948418652274,7.86896383568564,-1.95211711785787,2.42181846725142e-25,3.69668965646757e-22
"113","2",203302506,203303006,501,"*",6.19015470413588,6.98976871440779,4.24320840776294,2.62144149228628,2.45573421987524e-25,3.71528682089763e-22
"114","1",177800597,177801097,501,"*",7.0448456799569,7.74386980964083,5.63592639732866,2.04682362569991,2.73288768945661e-25,4.09832468082564e-22
"115","5",19125917,19126417,501,"*",5.85446057412852,6.72994956565897,3.25823162004731,3.33765374975167,2.84454095009475e-25,4.22866984127216e-22
"116","14",19813087,19813587,501,"*",5.87818627035465,6.82572311599064,2.07071617421605,4.36296889419876,2.89580664991261e-25,4.26776994186e-22
"117","5",850465,850965,501,"*",7.07090118120134,7.75536855118678,5.72310388846864,1.96977220972194,3.67840049892381e-25,5.37480335465826e-22
"118","2",107412957,107413457,501,"*",6.21581182643918,7.03436966925548,4.13485665572916,2.83703907996907,4.79962726471566e-25,6.95368371119711e-22
"119","10",65794826,65795326,501,"*",6.6076972624345,7.38745974648267,4.78734487445225,2.54065996706021,5.63971275373786e-25,8.1021345626346e-22
"120","15",46918700,46919200,501,"*",5.915748107763,6.77527727355182,3.48565867843116,3.21167961218754,6.67093950346229e-25,9.50375396360756e-22
"121","3",135516159,135516659,501,"*",7.36317257464989,8.02511569305182,6.10401477926522,1.88334407877276,6.94703216967656e-25,9.76489838713224e-22
"122","18",52237516,52238016,501,"*",6.77231175916479,7.53077581626697,5.07477173264797,2.3770708013905,6.96848116631063e-25,9.76489838713224e-22
"123","18",42446128,42446628,501,"*",6.8971724128686,7.60530119583329,5.44833379319454,2.13070504245943,9.45141342138547e-25,1.31365425666115e-21
"124","3",118782711,118783211,501,"*",6.64000837131269,7.38866986792667,4.99510034126516,2.34147323502239,1.05634428774258e-24,1.45637505438626e-21
"125","1",182186293,182186793,501,"*",7.19313536083666,7.86377510764119,5.90055884224281,1.94835071946656,1.07638118825023e-24,1.47212780144706e-21
"126","1",182290216,182290716,501,"*",6.72617139030434,7.44330920216875,5.23645523342617,2.16840206848809,1.2450593746317e-24,1.68930841720862e-21
"127","8",137576088,137576588,501,"*",5.96782971440536,6.82684037489108,3.54280071179967,3.13388455227661,1.42735185511765e-24,1.91870213610222e-21
"128","8",72695648,72696148,501,"*",5.9414045798598,6.77547451313711,3.73911549711399,2.93698875104256,1.43657432481126e-24,1.91870213610222e-21
"129","18",50097713,50098213,501,"*",6.05692762029366,6.87563311231986,3.974870251561,2.79578422582368,1.51217267546094e-24,2.00401562985622e-21
"130","19",51367439,51367939,501,"*",9.24963254080108,9.82580311102101,8.27569135858236,1.52184644262981,1.57997074710528e-24,2.07775876141249e-21
"131","2",55785578,55786078,501,"*",5.97838051874186,3.10040409476418,6.87675720241232,-3.486960450517,1.5936512263437e-24,2.07975134620814e-21
"132","11",34994790,34995290,501,"*",6.47551391802102,4.69153703472858,7.24918805941995,-2.48187943718303,1.75265739048927e-24,2.26993031941867e-21
"133","17",28380184,28380684,501,"*",6.72313674849637,7.45432361461319,5.16672570353517,2.23820702225352,1.79286569604055e-24,2.30454686965188e-21
"134","10",109454663,109455163,501,"*",7.05790869834312,7.75613992584796,5.65240245003451,2.07493791012119,2.29761461475375e-24,2.93131044260501e-21
"135","21",37199395,37199895,501,"*",5.91356281509954,6.75275256293183,3.66856939401392,2.9327897282416,2.35533941431154e-24,2.98269715253239e-21
"136","2",29921493,29921993,501,"*",6.09543121535175,6.92308163975645,3.94475749986579,2.83995932891836,2.52810229588786e-24,3.17793611985586e-21
"137","3",134711218,134711718,501,"*",6.6507530742293,7.40234272849622,4.99036044149947,2.3465182032657,5.29620501349426e-24,6.60896800508724e-21
"138","10",37535813,37536313,501,"*",7.43717428541193,8.10995714639978,6.13621057275143,1.91979904033526,7.65127648161269e-24,9.47860090393871e-21
"139","15",54131361,54131861,501,"*",6.95315293428864,7.66627147513319,5.48184863066808,2.17711716964095,9.28854385666809e-24,1.14241070550235e-20
"140","10",76150012,76150512,501,"*",6.66714815780242,7.42965273111544,4.94723435511007,2.39981770114177,1.28122849792781e-23,1.56454472534816e-20
"141","10",4982528,4983028,501,"*",6.04751745261912,6.87202206988692,3.92139775690961,2.78129583641436,1.43714633334757e-23,1.74249406281159e-20
"142","14",48096901,48097401,501,"*",7.31436911568777,7.99904978703169,5.96569899285074,1.99411232609573,1.60139365120925e-23,1.92796518185515e-20
"143","6",26550372,26550872,501,"*",6.12441601194294,6.94234248726047,4.04816324168811,2.85518654722771,1.77931960425957e-23,2.12719525108396e-20
"144","17",51647816,51648316,501,"*",6.93118347847344,7.64329204920721,5.46446105252553,2.13720614483245,1.84095418683868e-23,2.18559615189977e-20
"145","16",77549863,77550363,501,"*",6.74290623621707,7.49532668731303,5.07808399387281,2.33189789925796,1.90216204658118e-23,2.24268840799604e-20
"146","18",71878131,71878631,501,"*",5.98905082493408,6.80814661029008,3.90407531934246,2.74248313735064,2.1557779295411e-23,2.52429783067457e-20
"147","11",124080509,124081009,501,"*",6.87141516342199,7.55793273011518,5.51520114829289,1.98905560199564,2.48988840351496e-23,2.89568939923885e-20
"148","3",5787895,5788395,501,"*",6.21588590010787,6.98647163320305,4.4499591318435,2.47488800994048,2.67047239244317e-23,3.08472040045472e-20
"149","9",87270456,87270956,501,"*",5.80811713236898,6.67665219715458,3.28686736602824,3.15788086750297,2.71500988697095e-23,3.11511852521328e-20
"150","8",137645317,137645817,501,"*",5.85648374445215,6.68951434444955,3.66269338591023,2.87112110408042,3.17124708649284e-23,3.61433372941761e-20
"151","9",87122905,87123405,501,"*",6.33728923415981,7.12940530411481,4.43967894311842,2.57453252065855,3.34922245596165e-23,3.79189650745889e-20
"152","8",136296381,136296881,501,"*",6.91521313510389,7.63834014964935,5.39751978061189,2.13737261125699,3.81474406205106e-23,4.26294798475008e-20
"153","3",117893578,117894078,501,"*",5.93473491762061,6.75314233591333,3.85490168144094,2.85787570749664,3.81515367322244e-23,4.26294798475008e-20
"154","3",6326756,6327256,501,"*",6.85423212186413,7.56268186110895,5.4039612429456,2.11596085680355,3.96134511750893e-23,4.3975560947993e-20
"155","5",15821506,15822006,501,"*",5.80157078591004,6.657450337774,3.40669096845277,3.14051125892926,4.03574689416199e-23,4.45124656472352e-20
"156","4",82822993,82823493,501,"*",6.36338114991698,7.12906218980598,4.62558627877744,2.46764579961642,4.06276360947309e-23,4.45232013556603e-20
"157","4",7015583,7016083,501,"*",6.54215199163385,7.28614778801296,4.92151524127731,2.26488866582951,5.111465636261e-23,5.56589772129878e-20
"158","3",133107422,133107922,501,"*",6.20777228040575,6.99466865009428,4.34339251269266,2.54375175219207,5.78051427456097e-23,6.25458961614174e-20
"159","9",87223852,87224352,501,"*",6.80403459799693,7.51056739735055,5.36229227201853,2.11972452968122,6.28373451875029e-23,6.75631877897177e-20
"160","10",11335095,11335595,501,"*",7.43458591531537,8.0948380001794,6.18181435852988,1.8792577379443,6.52257773513286e-23,6.96929277776777e-20
"161","5",23352408,23352908,501,"*",6.08758379450685,6.88492259255022,4.15581464549693,2.6398528168879,6.67599044562877e-23,7.08890667455779e-20
"162","12",113903483,113903983,501,"*",5.62763157542305,6.51416148258801,2.90288599828961,3.33708421833668,6.93250750153452e-23,7.31584949041567e-20
"163","3",118128861,118129361,501,"*",5.96647576322672,6.78828822036803,3.86100088766509,2.77003236643149,8.80170033579557e-23,9.23141770556405e-20
"164","15",33584755,33585255,501,"*",7.07536016833545,7.7425585592986,5.79612467238879,1.92954822867275,1.01830426402598e-22,1.06150768517898e-19
"165","10",37732747,37733247,501,"*",7.22342988593441,7.86710094509211,6.03144579490424,1.78931623267774,1.03064714993339e-22,1.06786288156553e-19
"166","9",86549351,86549851,501,"*",6.02968181133375,6.87435041413696,3.73736788874954,2.9099078633128,1.51350214164988e-22,1.5587066212782e-19
"167","13",54658764,54659264,501,"*",5.6253773310652,6.51170109903848,2.90314857830226,3.44851776520976,1.63255870365788e-22,1.67125132251464e-19
"168","3",65230190,65230690,501,"*",6.18668535046078,6.96885029613883,4.3516796991351,2.53179334279057,1.85005849467213e-22,1.88263273888189e-19
"169","3",126212555,126213055,501,"*",6.00933702748588,6.80960830393965,4.05797195315266,2.5979553955279,2.40523203418372e-22,2.43309856863894e-19
"170","1",57088611,57089111,501,"*",6.66190289750989,7.37817377654421,5.17618234678241,2.16223399991461,2.69068099556223e-22,2.70584377434898e-19
"171","1",164337813,164338313,501,"*",7.47668315963224,8.15074278059353,6.17069353795545,1.93155535986525,2.82375523638638e-22,2.82306168246867e-19
"172","2",75375820,75376320,501,"*",6.49624400655669,4.88373798738415,7.23865575963293,-2.2871230579574,3.09043141583254e-22,3.07170915109244e-19
"173","10",108601794,108602294,501,"*",5.82295464415667,6.65495331234716,3.63754724216543,2.92942815330288,3.19996315010916e-22,3.16219248679978e-19
"174","8",120654297,120654797,501,"*",5.57666453449927,6.47899655066445,2.643369182869,3.54730862205664,3.77010817099241e-22,3.70419627986506e-19
"175","2",46179120,46179620,501,"*",6.20049351674165,4.34140665038599,6.98654557214664,-2.54813965033644,3.89638589754762e-22,3.8063905158454e-19
"176","2",106970931,106971431,501,"*",7.67438383458287,8.28814640708464,6.5843645234384,1.69106999211998,4.27407142784649e-22,4.15162899523738e-19
"177","10",107971870,107972370,501,"*",7.30100696916108,7.97481210224585,5.99602088116652,1.95164030038604,5.37143533402131e-22,5.1880782024498e-19
"178","5",169007095,169007595,501,"*",6.28264413243313,7.02676463027446,4.66136497202202,2.30348541654403,5.68641291421342e-22,5.45168552746275e-19
"179","2",106747415,106747915,501,"*",5.80071856248242,6.63973373038691,3.55720485252911,2.97920880086143,5.70813714137878e-22,5.45168552746275e-19
"180","15",61044686,61045186,501,"*",5.76762234002388,3.08330583246065,6.65079335270638,-3.36244907134418,6.46549329819303e-22,6.14071001818047e-19
"181","5",164191107,164191607,501,"*",7.96796020223322,8.5508093479666,6.97428175575186,1.56671113443782,8.65942219012967e-22,8.17899170596789e-19
"182","5",141094394,141094894,501,"*",7.51190254753169,8.11310999761326,6.4620404670757,1.61056026512764,8.74701575150402e-22,8.21633142222871e-19
"183","5",15834845,15835345,501,"*",6.57897232561414,7.31651923328758,4.9910997386768,2.31761119396447,8.91942211877944e-22,8.3324948993568e-19
"184","1",57131940,57132440,501,"*",5.61970350310038,6.48107697415358,3.17145411822514,3.11965580752088,9.2233698106879e-22,8.56961334834555e-19
"185","5",144205076,144205576,501,"*",5.73783404083028,1.90241823145027,6.68639550401686,-4.17124478886269,9.73980020842e-22,9.00052304881658e-19
"186","10",111275044,111275544,501,"*",5.91391001573691,6.72565050368077,3.88283200225895,2.74086923297849,1.03755505292066e-21,9.53646971705433e-19
"187","10",64486093,64486593,501,"*",6.63718944159354,7.34387587241578,5.19476587412401,2.13057150931176,1.08164678639437e-21,9.8885653106101e-19
"188","14",19823736,19824236,501,"*",5.97862972263951,6.81668428952711,3.74322768912237,2.92198834388913,1.11309934848334e-21,1.01219807669157e-18
"189","10",111297520,111298020,501,"*",6.75172120505562,7.43378829440667,5.41370080876448,2.00765527795059,1.17981943430004e-21,1.06719349655591e-18
"190","4",16757077,16757577,501,"*",6.50171947411256,7.20650444071201,5.0676998483446,2.0939468310735,1.29679432381865e-21,1.16682823163889e-18
"191","3",140529046,140529546,501,"*",7.91651134222066,8.55588330029355,6.73976854856591,1.79142837844609,1.50937980777828e-21,1.35099766061863e-18
"192","10",85928284,85928784,501,"*",7.0920395164627,7.78729506031082,5.69925396702921,2.01507737215695,1.56267466133479e-21,1.39141528516913e-18
"193","1",50156545,50157045,501,"*",7.07552998052468,7.73656092905751,5.81982146285662,1.90205475641822,1.78788264202844e-21,1.5836934752119e-18
